Include,,Category,Name,Link,Summary,StandardStatus,IEStatus,IEPrefixed,IEUnprefixed,MSDN,WebPlatDocs,Demo,ID,ChromeStatus,FFStatus,OperaStatus,SafariStatus
FALSE,Greg,CSS,font-variant-ligatures,http://www.w3.org/TR/css-fonts-3/,A CSS property to control ligatures in text.,Established standard,,,,,,,@5678497057996800,,,,
FALSE,Frank,Multimedia,VTTCue,http://dev.w3.org/html5/webvtt/#vttcue-interface,"The VTTCue interface, part of WebVTT. Previously the members of VTTCue were on the TextTrackCue interface and there was a TextTrackCue constructor, now the VTTCue constructor must be used instead.",Editor's draft,,,,,,,@5818821692620800,,,,
FALSE,Greg,CSS,font-kerning,http://www.w3.org/TR/css-fonts-3/,A CSS property to control text kerning.,Established standard,,,,,http://docs.webplatform.org/wiki/css/properties/font-kerning,,@4889527134978048,,,,
FALSE,Guarev,JavaScript,ES6 Promises,https://github.com/domenic/promises-unwrapping,Support for Promises in Blink. JavaScript version is still under development. Eventually V8 team will implement this and the code will be removed from Blink (transparently to web authors). More info: https://docs.google.com/a/chromium.org/presentation/d/1Gt9rYxmwdOsIu6lYgXLZeACNjMkxtqREAis4r-SoBzc/edit#slide=id.g48274ca9_096,Editor's draft,Under Consideration,,,,,,@5681726336532480,,,,
TRUE,,CSS,object-fit and object-position,http://dev.w3.org/csswg/css-images-3/#the-object-fit,CSS properties that control the position and size of replaced content within the content box,Established standard,Under Consideration,,,,"http://docs.webplatform.org/wiki/css/properties/object-fit
",,@5302669702856704,,,,
FALSE,,CSS,Proprietary marquee value,,overflow: -webkit-marquee,Public discussion,,,,,,,@5067649092419584,,,,
TRUE,,CSS,Conditional Rules,http://dev.w3.org/csswg/css-conditional/,"Support for the @supports at-rule and the ""window.DOM.supports()"" API",Established standard,Under Consideration,,,,,,@4993981813358592,,,,
TRUE,,JavaScript,Generators,http://wiki.ecmascript.org/doku.php?id=harmony:specification_drafts,A generator is a special type of function that works as a factory for iterators.,Editor's draft,Under Consideration,,,,,,@4959347197083648,,,,
FALSE,,Misc,<dialog> Element,http://whatwg.org/html#the-dialog-element,An HTML element for a dialog box,Working draft or equivalent,Under Consideration,,,,,,@5770237022568448,,,,
TRUE,,CSS,Custom filters (shaders),https://dvcs.w3.org/hg/FXTF/raw-file/tip/filters/index.html#custom-filter,Apply GLSL shaders to arbitrary DOM elements.,Working draft or equivalent,Under Consideration,,,,,,@5838406743490560,,,,
TRUE,,Performance,High Resolution Time,https://dvcs.w3.org/hg/webperf/raw-file/tip/specs/HighResolutionTime/Overview.html,"Enables reliable, high-resolution timing of client-side performance.",Established standard,Shipped,,10,,,,@5349124069130240,,,,
FALSE,,Security,Meta Referrer,http://wiki.whatwg.org/wiki/Meta_referrer,"Using the referrer metadata attribute, a document can control the behavior of the Referer HTTP header attached to requests that originate from the document.",Editor's draft,,,,,,,@5126747842412544,,,,
TRUE,Matt,CSS,Scoped Styles,http://whatwg.org/html#attr-style-scoped,"Boolean attribute for the <style> element (<style scoped>). When present, its styles only apply to the parent element.",Working draft or equivalent,Not currently planned,,,,,,@5374137958662144,,,,
TRUE,,JavaScript,Proxies,http://wiki.ecmascript.org/doku.php?id=harmony:specification_drafts,Proxies are objects for which the programmer has to define the semantics in JavaScript. ,Editor's draft,Under Consideration,,,,,,@4811188005240832,,,,
TRUE,,User input,Touch Events,http://www.w3.org/TR/touch-events/,"Touchscreen input API, originally introduced by Apple on iOS",Established standard,Under Consideration,,,,,,@6156165603917824,,,,
FALSE,??,File APIs,File System API,http://dev.w3.org/2009/dap/file-system/file-dir-sys.html,"With the FileSystem API, a web app can create, read, navigate, and write to a sandboxed section of the user's local file system.",Working draft or equivalent,Not currently planned,,,,http://docs.webplatform.org/wiki/tutorials/file_filesystem,,@5452478162141184,,,,
TRUE,,JavaScript,Runtime error reporting: ErrorEvent.,http://www.whatwg.org/specs/web-apps/current-work/multipage/webappapis.html#runtime-script-errors,Unhandled exceptions trigger the 'window.onerror' callback (or 'self.onerror' inside Workers) for centralized handling.,Established standard,Under Consideration,,,,,,@6416612420747264,,,,
TRUE,,File APIs,FileWriter,http://dev.w3.org/2009/dap/file-system/file-writer.html,Enables writing to files from web applications.,Working draft or equivalent,Under Consideration,,,,,,@5963201313243136,,,,
TRUE,,File APIs,FileReader,http://dev.w3.org/2006/webapi/FileAPI/#dfn-filereader,"The FileReader object lets web applications asynchronously read the contents of files (or raw data buffers) stored on the user's computer, using File or Blob objects to specify the file or data to read.",Working draft or equivalent,Shipped,,10,http://msdn.microsoft.com/en-us/library/ie/hh772310(v=vs.85).aspx,http://docs.webplatform.org/wiki/apis/file/FileReader,,@5171003185430528,,,,
TRUE,,DOM,Server-Sent Events (EventSource),http://dev.w3.org/html5/eventsource/,Enables push notifications from the server received as DOM events.,Established standard,Under Consideration,,,,http://docs.webplatform.org/wiki/tutorials/eventsource_basics,,@5311740673785856,,,,
FALSE,,CSS,Proprietary CSS reflections,, -webkit-box-reflect,Public discussion,,,,,,,@5627300510957568,,,,
FALSE,,CSS,Proprietary mask properties,,-webkit-mask-* (-webkit-mask-clip),Public discussion,,,,,,,@6500037865504768,,,,
TRUE,,Realtime / Communication,Message Channels,http://www.w3.org/TR/webmessaging/,"A messaging system that allows documents to communicate with each other regardless of their source domain, in a way designed to avoid cross-site scripting attacks.",Established standard,Shipped,,10,http://msdn.microsoft.com/en-us/library/ie/hh673525(v=vs.85).aspx,http://docs.webplatform.org/wiki/apis/web-messaging/MessageChannel,,@6710044586409984,,,,
FALSE,,CSS,CSS 'text' properties,http://www.w3.org/TR/css3-text/,"CSS properties used for manipulating text (decoration, line breaking, processing model, ...)",Working draft or equivalent,,,,http://msdn.microsoft.com/en-us/library/ie/hh772058(v=vs.85).aspx,,,@4775453877338112,,,,
FALSE,,CSS,Lazy layout,,Support a system for doing lazy layout based on what elements are visible in the viewport.,No public standards discussion,,,,,,,@5803772127215616,,,,
TRUE,,Performance,Efficient Script Yielding - setImmediate(),https://dvcs.w3.org/hg/webperf/raw-file/tip/specs/setImmediate/Overview.html,Allows web applications to flush the browser event queue and receive an immediate callback.,Editor's draft,Shipped,,10,,,,,Not supported,Not supported,Not supported,Not supported
TRUE,,Performance,Resource Priorities,http://www.w3.org/TR/resource-priorities/,Defines a means for site developers to programmatically give the User Agent hints on the download priority of a resource.,Working draft or equivalent,Under Consideration,,,,,,,Not supported,Not supported,Not supported,Not supported
TRUE,,Performance,Beacon,http://www.w3.org/TR/beacon/,"Enables web applications to asynchronously transfer data from the user agent to a web server, with the user agent taking the responsibility to eventually send the data.",Working draft or equivalent,Under Consideration,,,,,,,Not supported,Not supported,Not supported,Not supported
TRUE,,Performance,Prefetch attribute,http://www.w3.org/html/wg/drafts/html/master/links.html#link-type-prefetch,Indicates the browser should preemptively fetche and cache the specified resource.,Established standard,Shipped,,11,,,,,Not supported,Shipped,Not supported,Not supported
TRUE,,Performance,Prerender attribute,http://www.w3.org/html/wg/drafts/html/master/links.html#link-type-prefetch,Provides a hint to the browser that another page is likely to be loaded by the user (such as the first result of a search) such that it may be prerendered for better performance.,Established standard,Shipped,,11,,,,,Shipped,Not supported,Shipped,Not supported
TRUE,,CSS,CSS Scrolling Snap Points,http://dev.w3.org/csswg/css-snappoints/,"Enables rich, customizable, and performant scrolling experiences like pagination of carousels by using snap points that enforce the scroll offsets that a scroll container may end at after a scrolling operation has completed. ",Editor's draft,Prefixed,10,,,,,,Not supported,Not supported,Not supported,Not supported
TRUE,,DOM,DOM Level 3 XPath,http://www.w3.org/TR/DOM-Level-3-XPath/,Provides simple functionalities to access a DOM tree using the XPath syntax.,Established standard,In Development,,,,,,,Shipped,Shipped,Shipped,Shipped
TRUE,,CSS,Screen Orientation API,https://dvcs.w3.org/hg/screen-orientation/raw-file/tip/Overview.html,"Provides the ability to read the screen orientation state, to be informed when this state changes, and to be able to lock the screen orientation to a specific state. ",Working draft or equivalent,Prefixed,11,,,,,,Not supported,Shipped,Not supported,Not supported
TRUE,,CSS,CSS pointer-events,,Enables control of whether an element can receive input events from a pointing device using an API similar to the existing pointer-events property from SVG.,De-facto standard,Shipped,,11,,,,,Shipped,Shipped,Shipped,Shipped
TRUE,,JavaScript,"ES6 Array, Math, Number and String methods",http://wiki.ecmascript.org/doku.php?id=harmony:specification_drafts,"Adds a set of new Array, Math, Number and String helper methods. ",Working draft or equivalent,In Development,,,,,,,In development,In development,In development,In development
TRUE,,Misc,Web Driver,http://www.w3.org/TR/webdriver/,"A platform and language-neutral interface and associated wire protocol that allows programs or scripts to introspect into, and control the behaviour of, a web browser.",Working draft or equivalent,In Development,,,,,,,Shipped,In development,Shipped,Shipped
