Include,,Category,Name,Link,Summary,StandardStatus,IEStatus,IEPrefixed,IEUnprefixed,MSDN,WebPlatDocs,Demo,ID,ChromeStatus,FFStatus,OperaStatus,SafariStatus
TRUE,,DOM,Page Visibility API,https://dvcs.w3.org/hg/webperf/raw-file/tip/specs/PageVisibility/Overview.html,"Provides an API to ask whether the current tab is visible or not. If so, you might want to throttle back action or set an idle state.",Established standard,Shipped,,10,http://msdn.microsoft.com/library/ie/hh673553,http://docs.webplatform.org/wiki/dom/Document/visibilitychange,,@5689697795833856,,,,
FALSE,,Multimedia,Parse SVG as HTML,http://www.w3.org/TR/SVG/implnote.html#ErrorProcessing,Switch all SVG parsing to use the HTML parser.,No public standards discussion,Not currently planned,,,,,,@5630599045840896,,,,
TRUE,,User input,Pointer Events,http://www.w3.org/html/wg/drafts/html/master/forms.html#attr-fe-inputmode,"Unified pointer input API (e.g. mouse, pen, touch input) which addresses several existing problems (especially on touchscreen laptops) and provides future extensibility.",Established standard,Shipped,10,11,http://msdn.microsoft.com/en-us/library/ie/dn433244(v=vs.85).aspx,http://docs.webplatform.org/wiki/PointerEvents,,@4504699138998272,,,,
TRUE,,Misc,Pointer Lock (Mouse Lock),https://dvcs.w3.org/hg/pointerlock/raw-file/default/index.html,"Gives access to raw mouse movement, locks the target of mouse events to a single element, eliminates limits of how far mouse movement can go in a single direction, and removes the cursor from view. Obvious use cases are for first person or real time strategy games.",Working draft or equivalent,Under Consideration,,,,,,@6753200417800192,,,,
FALSE,,Multimedia,Portable Native Client (PNaCl),,Run C/C++ code compiled to LLVM bitcode on any web page. The code runs inside the Native Client sandbox and has access to the same capabilities as JavaScript via the Pepper APIs.,Public discussion,Not currently planned,,,,,,@6193548999262208,,,,
TRUE,,CSS,position: sticky,http://lists.w3.org/Archives/Public/www-style/2012Jun/0627.html,"position: sticky is a new way to position elements and is conceptually similar to position: fixed. The difference is that a stickily positioned element behaves like position: relative within its parent, until a given offset threshold is met.",Public discussion,Under Consideration,,,,,,@6190250464378880,,,,
TRUE,,Realtime / Communication,postMessage,http://www.w3.org/TR/webmessaging/,Safely enables cross-origin communication.,Established standard,Shipped,,8,http://msdn.microsoft.com/en-us/library/ie/cc197015(v=vs.85).aspx,http://docs.webplatform.org/wiki/dom/Window/postMessage,,@4786174115708928,,,,
FALSE,,Network / Connectivity,QUIC,https://docs.google.com/a/chromium.org/document/d/1RNHkx_VvKWyWg6Lr8SZ-saqsQx7rFV-ev2jRFUoVD34/edit,"An experimental, UDP-based QUIC transport protocol",No public standards discussion,Not currently planned,,,,,,@5338403830759424,,,,
TRUE,,Multimedia,Quota Management API,http://www.w3.org/TR/quota-api/,This API can be used to check how much quota an app/origin is using.,Working draft or equivalent,Not currently planned,,,,http://docs.webplatform.org/wiki/apis/quota_management,,@6218562888794112,,,,
TRUE,,CSS,Regions,http://dev.w3.org/csswg/css3-regions/,Magazine-like content flow into specified regions.,Working draft or equivalent,Prefixed,10,,http://msdn.microsoft.com/en-us/library/ie/hh772715(v=vs.85).aspx,http://docs.webplatform.org/wiki/apis/css-regions,,@5655612935372800,,,,
